Q 0.1,Q 0.2,Q1.1,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q 1.2,Q1.3,Q1.4,Q 1.5,Q 1.6,Q 1.7,Q 2.1,Q 2.1_5_TEXT,Q2.2,Q2.2_8_TEXT,Q2.3,Q2.4,Q2.4_12_TEXT,Q2.5,Q 2.6,Q 2.6_4_TEXT,Q 3.1,Q 3.2.,Q 3.3,Q 3.3_10_TEXT,Q 3.4,Q 3.4_6_TEXT,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.5_5,Q3.5_6,Q3.5_7,Q3.5_8,Q3.5_9,Q3.5_10,Q3.6,Q 3.7,Q 3.7_7_TEXT,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.8_5,Q3.8_6,Q3.8_6_TEXT,Q3.9,Q3.9_12_TEXT,Q3.10,Q3.10_5_TEXT,Q3.11,Q3.11_4_TEXT,Q3.12,Q 3.13,Q 3.13_6_TEXT,Q 3.14_4,Q 3.15,Q 3.16#1_1,Q 3.16#1_2,Q 3.16#1_3,Q 3.16#1_4,Q 3.16#1_5,Q 3.16#1_6,Q 3.16#1_7,Q 3.16#2_1,Q 3.16#2_2,Q 3.16#2_3,Q 3.16#2_4,Q 3.16#2_5,Q 3.16#2_6,Q 3.16#2_7,Q 3.16#3_1_1,Q 3.16#3_2_1,Q 3.16#3_3_1,Q 3.16#3_4_1,Q 3.16#3_5_1,Q 3.16#3_6_1,Q 3.16#3_7_1,Q 3.17,Q 3.17_10_TEXT,Q 3.18,Q3.19,Q3.19_7_TEXT,Q3.20,Q3.21
Does one of these activities describe your primary activity? (THE REPLY IS COMPULSORY),Are you currently licensed for public music use through SOZA?,"What is the capacity of your business? Please, choose the most relevant measure for your business: - Selected Choice","What is the capacity of your business? Please, choose the most relevant measure for your business: - Maximum capacity in number of persons - Text","What is the capacity of your business? Please, choose the most relevant measure for your business: - Number of tables - Text","What is the capacity of your business? Please, choose the most relevant measure for your business: - Number of rooms - Text","What is the capacity of your business? Please, choose the most relevant measure for your business: - Squared meters - Text",In what year was your business established?,What is the size of your business in terms of full-time employees?,Is your business family-run?,Is the annual turnover of your venue approximately,What are your business’s usual opening days? (Select all days that apply),Do you play background music in your establishment?,How do you obtain your background music? - Selected Choice,"How do you obtain your background music? - Other, please specify: - Text",What type of equipment does your venue use to play background music? (Select all that apply) - Selected Choice,"What type of equipment does your venue use to play background music? (Select all that apply) - Other, please specify: - Text",How many days per month do you typically play background music?,What genres of music do you have played in your establishment? (select up to 4 genres) - Selected Choice,What genres of music do you have played in your establishment? (select up to 4 genres) - Other (please specify) - Text,Do you consider the music played in your establishment a distinctive feature of your business?,How is the music played in your establishment selected? - Selected Choice,How is the music played in your establishment selected? - Other (please specify) - Text,Do you organize live music events at your venue?,What type of equipment does your venue have available for live music performances? (Select all that apply),What is the typical capacity of your venue during live music performances? - Selected Choice,What is the typical capacity of your venue during live music performances? - Over 200 people (please specify) - Text,What types of live music performances has your establishment hosted in the past 12 months? - Selected Choice,What types of live music performances has your establishment hosted in the past 12 months? - Other (please specify) - Text,How frequently have these performances taken place at your establishment in the past 12 months? - Every day,How frequently have these performances taken place at your establishment in the past 12 months? - 5-6 times a week,How frequently have these performances taken place at your establishment in the past 12 months? - 3-4 times a week,How frequently have these performances taken place at your establishment in the past 12 months? - 1-2 times a week,How frequently have these performances taken place at your establishment in the past 12 months? - 3-4 times a month,How frequently have these performances taken place at your establishment in the past 12 months? - 1-2 times a month,How frequently have these performances taken place at your establishment in the past 12 months? - 3-4 times a year,How frequently have these performances taken place at your establishment in the past 12 months? - 1-2 times a year,How frequently have these performances taken place at your establishment in the past 12 months? - Hardly ever,How frequently have these performances taken place at your establishment in the past 12 months? - I don’t know,"Over the past year, has the number of live music performances in your venue:",By how much has the number of live music performances in your venue increased/decreased: - Selected Choice,By how much has the number of live music performances in your venue increased/decreased: - other - Text,"In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - number of patrons","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - cost of compliance with planning regulations","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - cost of compliance with liquor licensing conditions","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - staff costs","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - noise complaints by local residents","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - other, please specify:","In order of importance (1-6), why does your venue provide less live performances now compared to a year ago? - other, please specify: - Text",What genres of music have you played live in your establishment in the past 12 months? (select up to 4 genres) - Selected Choice,"What genres of music have you played live in your establishment in the past 12 months? (select up to 4 genres) - Other, please specify: - Text","Are live music events at your venue free for customers, do you charge an entry fee, or do you accept donations? - Selected Choice","Are live music events at your venue free for customers, do you charge an entry fee, or do you accept donations? - Other, please specify - Text",What is the average ticket price per person for live performances at your establishment? - Selected Choice,What is the average ticket price per person for live performances at your establishment? - Over €20 (please specify) - Text,Do you generate revenue from hosting live music events at your establishment?,What are the main sources of revenue from live music events at your venue? - Selected Choice,What are the main sources of revenue from live music events at your venue? - other (specify) - Text,What percentage of your revenues has come from live music events in the past 12 months? - Click to write the number,How does your revenue change when there is live music compared to non-live music nights?,"For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Monday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Tuesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Wednesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Thursday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Friday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Saturday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Open - Sunday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Monday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Tuesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Wednesday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Thursday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Friday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Saturday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Live Music - Sunday","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Monday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Tuesday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Wednesday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Thursday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Friday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Saturday - %","For each night of the week, can you indicate if your venue is typically open for business, typica... - Increase in Turnover (%) - Sunday - %",What motivates you to organize live music events at your venue? - Selected Choice,"What motivates you to organize live music events at your venue? - Other, please specify: - Text",Have you observed an increase in new customers on live music nights?,What are the biggest challenges of hosting live music at your venue? (Select all that apply) - Selected Choice,"What are the biggest challenges of hosting live music at your venue? (Select all that apply) - Other, please specify: - Text","Do you rent your venue for private or corporate events with music (e.g., weddings, banquets)?",How many such private events with music did you host in the past 12 months?
"{""ImportId"":""QID3""}","{""ImportId"":""QID41""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_1_TEXT""}","{""ImportId"":""QID58_2_TEXT""}","{""ImportId"":""QID58_3_TEXT""}","{""ImportId"":""QID58_4_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID54""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_8_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_12_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_4_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID56""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_10_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_6_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID17_9""}","{""ImportId"":""QID17_10""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_7_TEXT""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_6_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_12_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_5_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_4_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_6_TEXT""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31#1_1""}","{""ImportId"":""QID31#1_2""}","{""ImportId"":""QID31#1_3""}","{""ImportId"":""QID31#1_4""}","{""ImportId"":""QID31#1_5""}","{""ImportId"":""QID31#1_6""}","{""ImportId"":""QID31#1_7""}","{""ImportId"":""QID31#2_1""}","{""ImportId"":""QID31#2_2""}","{""ImportId"":""QID31#2_3""}","{""ImportId"":""QID31#2_4""}","{""ImportId"":""QID31#2_5""}","{""ImportId"":""QID31#2_6""}","{""ImportId"":""QID31#2_7""}","{""ImportId"":""QID31#3_1_1""}","{""ImportId"":""QID31#3_2_1""}","{""ImportId"":""QID31#3_3_1""}","{""ImportId"":""QID31#3_4_1""}","{""ImportId"":""QID31#3_5_1""}","{""ImportId"":""QID31#3_6_1""}","{""ImportId"":""QID31#3_7_1""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_10_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_7_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}"
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resort and destination dining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday and other short-stay accommodation,Yes,Maximum capacity in number of persons,20,,,,2006,2 persons,Yes,"€50,001-€150,000","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Streaming services (e.g., Spotify, Apple Music, etc.)",,"Portable speakers (e.g., Bluetooth or standalone)",,Most days,"Pop,Rock",,No,Randomly selected or played by chance,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightclubs and entertainment venues,Yes,Maximum capacity in number of persons,400,,,,1995,5 persons,Yes,"€20,001-€50,000","Friday,Saturday",Yes,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.),Purchased music (CDs, digital downloads, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers)",,Every day I am open,"Pop,Hip-Hop / Rap,Dance / Electronic,Latin",,Yes,Other (please specify),hudbu mixuje DJ ,Yes,"Professional PA system (mixer, amplifiers, speakers),Microphones (wired or wireless),Stage lighting,DJ equipment (e.g., turntables, DJ controller),Dedicated stage area,Sound technician/operator on-site",Over 200 people (please specify),150-400,"Solo artists,DJ sessions",,Other,Other,Other,Other,DJ sessions,DJ sessions,Solo artists,Other,Other,Other,increased,other,10 krát za rok ,,,,,,,,"Pop,Hip-Hop / Rap,Dance / Electronic,Latin",,Paid (ticket/entry),,€10.01–€20,,,increased food and beverage sales,,30,increases slightly,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,0,0,0,0,70%,0,0,,,"Yes, significantly","High artist fees,Difficulty attracting audiences,Unpredictable revenue",,Yes,06-Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Yes,Maximum capacity in number of persons,200,,,,2009,Above 50 persons,No,"Above €400,000","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers),Portable speakers (e.g., Bluetooth or standalone)",,Every day I am open,"Pop,Rock,Classical / Opera,Jazz",,No,Carefully curated or planned to match the atmosphere and customer experience,,Yes,"Professional PA system (mixer, amplifiers, speakers),Microphones (wired or wireless),Stage lighting,Musical instruments (e.g., piano, drum set, guitar),DJ equipment (e.g., turntables, DJ controller),Dedicated stage area,Sound technician/operator on-site",151–200 people,,"Solo artists,Bands,Jam sessions",,Other,Other,Other,Other,Other,Classical ensembles,Classical ensembles,Classical ensembles,Solo artists,Jam sessions,stayed the same,one day/night per week,,,,,,,,,"Pop,Rock,Jazz",,Paid (ticket/entry),,Over €20 (please specify),150,,other (specify),Ubytovanie,5,increases significantly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,0,0,0,0,25,35,0,,,"Yes, somewhat","High artist fees,Difficulty attracting audiences,Equipment and venue space limitations,Unpredictable revenue",,Yes,03-May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
